;accumulated_codon_frequencies;padj;log2FoldChange.shrunk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CMKLR1;0.024064171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USP20;0.024043716;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PPIF;0.024038462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KCNK17;0.024024024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OR10G6;0.024024024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MMP9;0.024011299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ODAD1;0.024011299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMEM63B;0.024009604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GNA15;0.024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPACA4;0.024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WFDC2;0.024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTOV1;0.024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIX2;0.023972603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ART5;0.023972603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAPLN;0.023961661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CDKN2D;0.023952096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GIPC1;0.023952096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HES5;0.023952096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARHGEF16;0.023943662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC22A8;0.023941068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACTG1;0.02393617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AOC1;0.02393617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRIK3;0.023913043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SCRIB;0.023911711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRIM74;0.023904382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KLK9;0.023904382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRIM73;0.023904382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FURIN;0.023899371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SELENOO;0.023880597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF316;0.023880597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLXNB1;0.023876404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALOXE3;0.023876404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ST8SIA5;0.023872679;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHRM1;0.023861171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NLRX1;0.023861171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPRL3;0.023853211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCAM;0.023847377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FBN3;0.023843416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMEM52;0.023809524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DMBX1;0.023809524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TM4SF19;0.023809524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MRPS24;0.023809524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IRF7;0.023809524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DHRS13;0.023809524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TCAP;0.023809524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOXB4;0.023809524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC39A11;0.023809524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NPB;0.023809524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RPS21;0.023809524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GCAT;0.023809524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TUSC1;0.023809524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FPGS;0.023809524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IFITM1;0.023809524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TCF24;0.023809524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOXL4;0.023778071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MSLN;0.023771791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMEM175;0.023762376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RARA;0.023758099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KMT5C;0.023758099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAB1;0.023758099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLXNA4;0.023746702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TTLL10;0.023738872;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABCB6;0.023724792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DVL3;0.023709902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMEM61;0.023696682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EPN3;0.023696682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMEM80;0.023696682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GALT;0.023684211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EME2;0.023684211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HSPG2;0.023679417;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAM219A;0.023668639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ATP1A3;0.023668639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARHGEF19;0.02366127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SCNN1D;0.02366127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOK7;0.023655914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MRC2;0.023648649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIME1;0.023648649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SULT1A1;0.023648649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLSCR3;0.023648649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SEMA6C;0.023630505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H2BC26;0.023622047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H2BC3;0.023622047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H2BC4;0.023622047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H2BC6;0.023622047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H2BC7;0.023622047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H2BC10;0.023622047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H2BC12;0.023622047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRNP;0.023622047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R3HDML;0.023622047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMEM88;0.023622047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAPN12;0.023611111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PACS2;0.023595506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC102A;0.023593466;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NR2F1;0.023584906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GPR83;0.023584906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RHOF;0.023584906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MPI;0.023584906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMPRSS9;0.023584906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAP1S;0.023584906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAM43A;0.023584906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESRRA;0.023584906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STXBP2;0.023569024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPEG;0.023561812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC22A13;0.023550725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CBS;0.023550725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RELA;0.023550725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPOCK2;0.023529412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MYL11;0.023529412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC2A4;0.023529412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETHE1;0.023529412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NDUFA3;0.023529412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VMAC;0.023529412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMDHD2;0.023529412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KRTAP9-9;0.023529412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EXOC3L4;0.02351314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KLHDC3;0.023498695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CERCAM;0.023489933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TST;0.023489933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMEM164;0.023489933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HCRTR1;0.023474178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMAD3;0.023474178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EFNB3;0.023460411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAN2A2;0.023457863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLDA3;0.0234375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MRFAP1;0.0234375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DLK1;0.0234375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMD2;0.0234375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GGA1;0.0234375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCDH1;0.023424879;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZMIZ1;0.02340824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PARP10;0.023391813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC61;0.023391813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMEM217B;0.023391813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRF1;0.023381295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAM11;0.023376623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DSCAML1;0.023369036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NICN1;0.023364486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MRPL28;0.023346304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PNPLA6;0.023343373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MUC5AC;0.023342175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTGS1;0.023333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRIB3;0.023316062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NT5DC4;0.023310023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ATP13A2;0.023295945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARMC5;0.023278371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UBQLN4;0.023255814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOS3;0.023255814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LRRC20;0.023255814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KRT14;0.023255814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANKRD54;0.023255814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DHRS2;0.023255814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SCYGR5;0.023255814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PDLIM2;0.023217247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC6A13;0.023217247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DHCR24;0.023210832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BEST4;0.023206751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PPM1N;0.023201856;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MFGE8;0.023195876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADCY4;0.023191095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RASSF1;0.023188406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ABCG4;0.023183926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOSIP;0.023178808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OR52K1;0.023178808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHRND;0.023166023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VENTX;0.023166023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NECTIN1;0.023166023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UNKL;0.023160763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOX4;0.023157895;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC30A3;0.023136247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZDHHC18;0.023136247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ASCL4;0.023121387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RSPO4;0.023121387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VOPP1;0.023121387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PPP1R37;0.023121387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOC122455340;0.023121387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RRP9;0.023109244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVPL;0.023107178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PITX3;0.02310231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECI1;0.02310231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IFFO1;0.023090586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TNFRSF12A;0.023076923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CALHM1;0.023054755;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMEM191B;0.023054755;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRPM4;0.023045267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FGF17;0.023041475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INPPL1;0.023034154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACOT11;0.023026316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MSX1;0.023026316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KIF19;0.023023023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC1A6;0.02300885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAM180A;0.022988506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VANGL2;0.022988506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
URAD;0.022988506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSAPL1;0.022988506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADARB2;0.022972973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CD93;0.022970904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRIM67;0.022959184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NDRG4;0.022959184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC25A34;0.02295082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSX2;0.02295082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KAZALD1;0.02295082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RASGRP2;0.02295082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIO3;0.02295082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAB2IP;0.022947926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HYAL1;0.02293578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TEAD3;0.02293578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FIGNL2;0.02293578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GALE;0.022922636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLYCTK;0.022900763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H2AC13;0.022900763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LASP1;0.022900763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAST3;0.022900763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KCNJ14;0.022883295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GATA2;0.022869023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FGD2;0.022865854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLPTM1;0.022865854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOGA1;0.022864019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WNT7A;0.022857143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KRTAP9-2;0.022857143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IPO13;0.022821577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARSI;0.022807018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC12A5;0.022807018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EXD3;0.022805017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IGSF8;0.022801303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLIT1;0.022801303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WDR97;0.022797289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALOX12B;0.022792023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FOXA3;0.022792023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCNO;0.022792023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALKBH5;0.02278481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PIP5KL1;0.02278481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NR1D1;0.022764228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WNT4;0.022727273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMEM125;0.022727273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FBLN7;0.022727273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RTP1;0.022727273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOXA1;0.022727273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSB2;0.022727273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLC25A39;0.022727273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF653;0.022727273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BLCAP;0.022727273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KRTAP13-2;0.022727273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCL4L2;0.022727273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CMTM7;0.022727273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CYB561A3;0.022727273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ATG9B;0.022702703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NSMF;0.02268431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DHH;0.022670025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOMM40L;0.022653722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAGH;0.022653722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFNG;0.022653722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUCY2D;0.022644928;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HSF1;0.022641509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVI5L;0.022641509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CELF5;0.022633745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARTN;0.022624434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRPM2;0.022606383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRMT1;0.02259887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C2CD4D;0.02259887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAL2;0.02259887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VPS18;0.022587269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLCH2;0.022582922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FN3K;0.022580645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ATG16L2;0.022580645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZBTB7C;0.022580645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZDHHC19;0.022580645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RSAD1;0.022573363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KCNA3;0.022569444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACSS1;0.022569444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PITPNM3;0.022564103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CDKN2A;0.022556391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COQ4;0.022556391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGRP;0.022556391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAM53A;0.022556391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMEM170B;0.022556391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KLHDC8B;0.022535211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERFL;0.022535211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HES4;0.022522523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DRD2;0.022522523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ISOC2;0.022522523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SDF2L1;0.022522523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZIC2;0.022514071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OR2A14;0.022508039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NKX1-2;0.022508039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UBALD1;0.02247191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIRT6;0.02247191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMEM190;0.02247191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KIF1A;0.02247191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SCYGR1;0.02247191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CDHR5;0.022458629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HIP1R;0.022450889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMBR1L;0.02244898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFX1;0.02244898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DLGAP3;0.02244898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OR8B8;0.022435897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MRPL4;0.022435897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
